accession,representation,n_components,detrend_bp,auc,mean_in,mean_out,contrast
NC_004347.1,NT-v2-50M,48,100000,0.5160984848484849,7.308045864105225,7.276973724365234,1.0042699260595036
NC_004347.1,NT-v2-50M,48,250000,0.5032196969696969,7.340615749359131,7.38634729385376,0.9938086387391123
NC_004347.1,NT-v2-50M,48,1000000,0.46571969696969695,7.194057464599609,7.363022327423096,0.9770522408720413
NC_004347.1,compositional,11,0,0.578030303030303,3.5083709976708697,3.1739718232464047,1.1053566928273593
NC_004459.2,DNABERT-S,8,0,0.6653225806451613,3.4291512966156006,3.0261237621307373,1.1331827665240914
NC_004459.2,DNABERT-S,8,100000,0.6080069124423964,3.2923481464385986,3.0532076358795166,1.078324352313561
NC_004459.2,DNABERT-S,8,250000,0.6797235023041475,3.522418975830078,3.067962169647217,1.1481298598395426
NC_004459.2,DNABERT-S,8,1000000,0.7872983870967742,3.8695666790008545,3.009112596511841,1.2859494468523547
NC_004459.2,DNABERT-S,16,0,0.691676267281106,4.843281269073486,4.356459140777588,1.1117472039939769
NC_004459.2,DNABERT-S,16,100000,0.642713133640553,4.73955774307251,4.355327606201172,1.0882207199119225
NC_004459.2,DNABERT-S,16,250000,0.6890841013824884,4.914067268371582,4.3912248611450195,1.119065277629675
NC_004459.2,DNABERT-S,16,1000000,0.8290610599078341,5.320342540740967,4.285747051239014,1.2414037686155208
NC_004459.2,DNABERT-S,24,0,0.6512096774193549,5.982723712921143,5.410951137542725,1.1056695137036623
NC_004459.2,DNABERT-S,24,100000,0.6421370967741935,5.919179439544678,5.419126510620117,1.092275559159688
NC_004459.2,DNABERT-S,24,250000,0.6605702764976958,6.035910129547119,5.445520877838135,1.108417406700563
NC_004459.2,DNABERT-S,24,1000000,0.8054435483870968,6.573561668395996,5.327385425567627,1.2339189195599811
NC_004459.2,DNABERT-S,48,0,0.6215437788018433,8.432848930358887,7.793471336364746,1.082040154688293
NC_004459.2,DNABERT-S,48,100000,0.59375,8.34394359588623,7.836301326751709,1.0647808510631824
NC_004459.2,DNABERT-S,48,250000,0.6379608294930875,8.569089889526367,7.81691837310791,1.096223534712363
NC_004459.2,DNABERT-S,48,1000000,0.8289170506912442,9.527779579162598,7.6669793128967285,1.2427031807867006
NC_004459.2,DNABERT-2,8,0,0.47609447004608296,2.76092529296875,3.151475191116333,0.8760739417373486
NC_004459.2,DNABERT-2,8,100000,0.36765552995391704,2.6891930103302,3.2813451290130615,0.81953982424855
NC_004459.2,DNABERT-2,8,250000,0.4933755760368664,2.946307897567749,3.2667224407196045,0.9019155900244548
NC_004459.2,DNABERT-2,8,1000000,0.6298963133640553,3.178466320037842,3.1318581104278564,1.0148819671794191
NC_004459.2,DNABERT-2,16,0,0.43317972350230416,4.0933051109313965,4.473732948303223,0.914964115702053
NC_004459.2,DNABERT-2,16,100000,0.36160714285714285,4.076690673828125,4.648695468902588,0.8769536961711335
NC_004459.2,DNABERT-2,16,250000,0.45348502304147464,4.259936809539795,4.629933834075928,0.9200858937091098
NC_004459.2,DNABERT-2,16,1000000,0.615639400921659,4.579183101654053,4.425986289978027,1.0346130334888104
NC_004459.2,DNABERT-2,24,0,0.4346198156682028,5.0496015548706055,5.42846155166626,0.9302085879784183
NC_004459.2,DNABERT-2,24,100000,0.3670794930875576,5.038533687591553,5.592874050140381,0.9008845259916207
NC_004459.2,DNABERT-2,24,250000,0.4488767281105991,5.237761974334717,5.595133304595947,0.9361281830465632
NC_004459.2,DNABERT-2,24,1000000,0.6209677419354839,5.584719181060791,5.376171112060547,1.0387911888690449
NC_004459.2,DNABERT-2,48,0,0.4808467741935484,7.166271686553955,7.487021446228027,0.9571592305461251
NC_004459.2,DNABERT-2,48,100000,0.43202764976958524,7.179081439971924,7.593268871307373,0.9454533431707475
NC_004459.2,DNABERT-2,48,250000,0.5066244239631337,7.366268157958984,7.585296154022217,0.9711246612372426
NC_004459.2,DNABERT-2,48,1000000,0.7049251152073732,7.960025310516357,7.4080891609191895,1.0745045230433867
NC_004459.2,NT-v2-50M,8,0,0.3561347926267281,2.94075608253479,3.455415964126587,0.8510570400394948
NC_004459.2,NT-v2-50M,8,100000,0.32085253456221197,2.8481178283691406,3.4388949871063232,0.8282072697909583
NC_004459.2,NT-v2-50M,8,250000,0.39314516129032256,3.029531240463257,3.4361205101013184,0.8816719994415817
NC_004459.2,NT-v2-50M,8,1000000,0.6185195852534562,3.507786989212036,3.299414873123169,1.0631542634381186
NC_004459.2,NT-v2-50M,16,0,0.3513824884792627,4.208268165588379,4.667511463165283,0.9016085335405973
NC_004459.2,NT-v2-50M,16,100000,0.33122119815668205,4.150906085968018,4.685418605804443,0.8859200074088888
NC_004459.2,NT-v2-50M,16,250000,0.4046658986175115,4.3038249015808105,4.661867618560791,0.9231975795377658
NC_004459.2,NT-v2-50M,16,1000000,0.6445852534562212,4.880759239196777,4.537556171417236,1.0756361034032877
NC_004459.2,NT-v2-50M,24,0,0.3990495391705069,5.1800689697265625,5.5406174659729,0.9349262968503769
NC_004459.2,NT-v2-50M,24,100000,0.35901497695852536,5.122180461883545,5.5784220695495605,0.9182131430756268
NC_004459.2,NT-v2-50M,24,250000,0.44772465437788017,5.337039947509766,5.5390143394470215,0.9635360409705277
NC_004459.2,NT-v2-50M,24,1000000,0.7252304147465438,6.0382771492004395,5.41419792175293,1.1152671617230894
NC_004459.2,NT-v2-50M,48,0,0.37298387096774194,7.116269588470459,7.540283679962158,0.9437668250309348
NC_004459.2,NT-v2-50M,48,100000,0.33914170506912444,7.090518474578857,7.594165802001953,0.9336797035310547
NC_004459.2,NT-v2-50M,48,250000,0.4012096774193548,7.2272186279296875,7.539305686950684,0.9586053315809746
NC_004459.2,NT-v2-50M,48,1000000,0.6807315668202765,7.994790554046631,7.431562423706055,1.0757886563051569
NC_004459.2,compositional,11,0,0.6232718894009217,4.2384958245683055,3.141952657562019,1.3490005377283893
NC_004431.1,DNABERT-S,8,0,0.8289000607815059,3.0425446033477783,2.5938658714294434,1.1729768438917292
NC_004431.1,DNABERT-S,8,100000,0.5476001607104225,2.7413012981414795,2.667161703109741,1.0277971879040166
NC_004431.1,DNABERT-S,8,250000,0.6388960430209438,2.849184513092041,2.658254384994507,1.0718253787806424
NC_004431.1,DNABERT-S,8,1000000,0.7203896197550196,2.9775390625,2.6727988719940186,1.1140153842846516
NC_004431.1,DNABERT-S,16,0,0.8548918810330796,4.4711151123046875,3.7873077392578125,1.1805523659877923
NC_004431.1,DNABERT-S,16,100000,0.6726194768669709,4.207164764404297,3.8713271617889404,1.0867499925943138
NC_004431.1,DNABERT-S,16,250000,0.7406071969423812,4.283148765563965,3.854717254638672,1.1111447306309508
NC_004431.1,DNABERT-S,16,1000000,0.7564618982373363,4.394607067108154,3.9060542583465576,1.1250757865735337
NC_004431.1,DNABERT-S,24,0,0.8454089359115681,5.558445453643799,4.702670574188232,1.1819763612940906
NC_004431.1,DNABERT-S,24,100000,0.7191379328106811,5.349424839019775,4.790809631347656,1.116601420356371
NC_004431.1,DNABERT-S,24,250000,0.7570130525708516,5.395411968231201,4.773732662200928,1.130229183329183
NC_004431.1,DNABERT-S,24,1000000,0.7525883649774903,5.4690728187561035,4.843813896179199,1.1290840102403827
NC_004431.1,DNABERT-S,48,0,0.8122624112744542,7.893099308013916,6.780972003936768,1.1640070632103319
NC_004431.1,DNABERT-S,48,100000,0.7540924497007283,7.747727394104004,6.855169296264648,1.1302021962208442
NC_004431.1,DNABERT-S,48,250000,0.7583059473158269,7.755125045776367,6.853054046630859,1.1316305099897745
NC_004431.1,DNABERT-S,48,1000000,0.7298880178017699,7.773411750793457,6.958406925201416,1.1171252032761005
NC_004431.1,DNABERT-2,8,0,0.8513686140786451,4.454818248748779,2.9909534454345703,1.4894308219837626
NC_004431.1,DNABERT-2,8,100000,0.8319751929040168,4.065201759338379,2.9267096519470215,1.3890007013965204
NC_004431.1,DNABERT-2,8,250000,0.8311922446919202,4.220931529998779,2.9636425971984863,1.4242377046371248
NC_004431.1,DNABERT-2,8,1000000,0.8125405639287517,4.28179931640625,3.053208112716675,1.4023935343851823
NC_004431.1,DNABERT-2,16,0,0.827097219503652,5.589936256408691,4.123908519744873,1.3554947277915161
NC_004431.1,DNABERT-2,16,100000,0.8036602828915513,5.269381999969482,4.0868306159973145,1.2893565931857414
NC_004431.1,DNABERT-2,16,250000,0.8059627687521248,5.396877765655518,4.110808849334717,1.3128505759952656
NC_004431.1,DNABERT-2,16,1000000,0.779466152942752,5.405041217803955,4.2155890464782715,1.2821556271760786
NC_004431.1,DNABERT-2,24,0,0.8309707527634981,6.534022331237793,5.001996994018555,1.3062827384844997
NC_004431.1,DNABERT-2,24,100000,0.8128805282840041,6.266345977783203,4.985287666320801,1.2569677814415547
NC_004431.1,DNABERT-2,24,250000,0.8123860346763643,6.362630844116211,5.007636547088623,1.2705855914833444
NC_004431.1,DNABERT-2,24,1000000,0.7846686377731305,6.352015018463135,5.116772174835205,1.2414105614674378
NC_004431.1,DNABERT-2,48,0,0.8504362875892406,8.56746768951416,6.93750524520874,1.2349493638842468
NC_004431.1,DNABERT-2,48,100000,0.8358384242137037,8.344056129455566,6.940001010894775,1.2023133881906691
NC_004431.1,DNABERT-2,48,250000,0.8298787460466266,8.41997241973877,6.963449954986572,1.2091667886130455
NC_004431.1,DNABERT-2,48,1000000,0.8040620589477588,8.414852142333984,7.060599327087402,1.191804229713348
NC_004431.1,NT-v2-50M,8,0,0.42976130381481215,2.702528953552246,2.8475122451782227,0.9490842254071142
NC_004431.1,NT-v2-50M,8,100000,0.3833973771234895,2.656809091567993,2.880107879638672,0.9224686027737639
NC_004431.1,NT-v2-50M,8,250000,0.39063449711030296,2.667056083679199,2.8751683235168457,0.9276173717777024
NC_004431.1,NT-v2-50M,8,1000000,0.3862613192677374,2.6721439361572266,2.9160261154174805,0.9163648850842552
NC_004431.1,NT-v2-50M,16,0,0.6487550093232649,4.424983978271484,4.060394287109375,1.0897916964171634
NC_004431.1,NT-v2-50M,16,100000,0.5214486602313818,4.225512504577637,4.118532180786133,1.025975352163227
NC_004431.1,NT-v2-50M,16,250000,0.577357343745171,4.299821853637695,4.111600875854492,1.0457780274560542
NC_004431.1,NT-v2-50M,16,1000000,0.5802264368644985,4.334951877593994,4.159661293029785,1.0421405908355899
NC_004431.1,NT-v2-50M,24,0,0.6380512831078923,5.336546897888184,4.959771156311035,1.075966356048045
NC_004431.1,NT-v2-50M,24,100000,0.5355880868248359,5.171325206756592,5.03905725479126,1.026248551123242
NC_004431.1,NT-v2-50M,24,250000,0.561415075873863,5.1965227127075195,5.020749568939209,1.0350093429984495
NC_004431.1,NT-v2-50M,24,1000000,0.5627903862201115,5.233577251434326,5.099485397338867,1.0262951736591763
NC_004431.1,NT-v2-50M,48,0,0.6178337059205308,7.341121196746826,7.020365238189697,1.045689354851834
NC_004431.1,NT-v2-50M,48,100000,0.5343673057309749,7.223304748535156,7.102563858032227,1.0169996205477807
NC_004431.1,NT-v2-50M,48,250000,0.559674046296964,7.231238842010498,7.073148727416992,1.0223507409056332
NC_004431.1,NT-v2-50M,48,1000000,0.5477134821621733,7.242022514343262,7.159423828125,1.0115370577578857
NC_004431.1,compositional,11,0,0.834859738948583,5.569273405183324,2.7512071023448055,2.0243017693712444
NC_004606.1,DNABERT-S,8,0,0.3894799054373522,2.680145263671875,2.8206899166107178,0.9501736606667782
NC_004606.1,DNABERT-S,8,100000,0.35254137115839246,2.630937337875366,2.8367080688476562,0.9274614355872441
NC_004606.1,DNABERT-S,8,250000,0.31708037825059104,2.6789023876190186,2.922578811645508,0.9166228048135026
NC_004606.1,DNABERT-S,8,1000000,0.19562647754137116,2.6221725940704346,3.0601449012756348,0.8568785723111904
NC_004606.1,DNABERT-S,16,0,0.4051418439716312,3.8798868656158447,4.070111274719238,0.953263093742685
NC_004606.1,DNABERT-S,16,100000,0.41430260047281325,3.938087224960327,4.0839738845825195,0.9642782584450572
NC_004606.1,DNABERT-S,16,250000,0.3105791962174941,3.902172088623047,4.241689682006836,0.9199569938310159
NC_004606.1,DNABERT-S,16,1000000,0.1057919621749409,3.6900737285614014,4.484287738800049,0.8228895966316445
NC_004606.1,DNABERT-S,24,0,0.5171394799054374,4.969025135040283,4.9929518699646,0.9952078979434492
NC_004606.1,DNABERT-S,24,100000,0.5112293144208038,4.9279398918151855,4.980935573577881,0.9893602956754111
NC_004606.1,DNABERT-S,24,250000,0.42789598108747046,4.938713073730469,5.1836323738098145,0.9527514139859156
NC_004606.1,DNABERT-S,24,1000000,0.27423167848699764,4.7824015617370605,5.471817970275879,0.8740059679828751
NC_004606.1,DNABERT-S,48,0,0.5162529550827423,6.934139251708984,7.053803443908691,0.9830355079849804
NC_004606.1,DNABERT-S,48,100000,0.4583333333333333,6.850341796875,7.115911483764648,0.9626794561040338
NC_004606.1,DNABERT-S,48,250000,0.41725768321513,6.8660054206848145,7.418914794921875,0.925473011953781
NC_004606.1,DNABERT-S,48,1000000,0.26300236406619387,6.6731858253479,8.016267776489258,0.832455453262121
NC_004606.1,DNABERT-2,8,0,0.5023640661938534,2.6467339992523193,2.954775333404541,0.8957479674783628
NC_004606.1,DNABERT-2,8,100000,0.3421985815602837,2.5980911254882812,3.2025821208953857,0.8112488696345749
NC_004606.1,DNABERT-2,8,250000,0.2624113475177305,2.5611536502838135,3.556290626525879,0.7201755759724819
NC_004606.1,DNABERT-2,8,1000000,0.22695035460992907,2.587528705596924,3.568121910095215,0.7251794559698427
NC_004606.1,DNABERT-2,16,0,0.5183215130023641,4.049971580505371,4.146973133087158,0.9766090713711532
NC_004606.1,DNABERT-2,16,100000,0.3519503546099291,3.877812147140503,4.380199909210205,0.8853048325458077
NC_004606.1,DNABERT-2,16,250000,0.30171394799054374,3.9836463928222656,4.704251289367676,0.8468183665753386
NC_004606.1,DNABERT-2,16,1000000,0.24674940898345155,3.9311389923095703,4.713193416595459,0.8340712219591446
NC_004606.1,DNABERT-2,24,0,0.6105200945626478,5.290388584136963,5.1179518699646,1.0336925236019376
NC_004606.1,DNABERT-2,24,100000,0.4098699763593381,5.087692737579346,5.360533714294434,0.9491019008074647
NC_004606.1,DNABERT-2,24,250000,0.3897754137115839,5.1470136642456055,5.614371299743652,0.9167569064198896
NC_004606.1,DNABERT-2,24,1000000,0.33156028368794327,5.068815231323242,5.752662658691406,0.8811250601780075
NC_004606.1,DNABERT-2,48,0,0.598404255319149,7.182321071624756,7.078950881958008,1.0146024730769365
NC_004606.1,DNABERT-2,48,100000,0.4657210401891253,6.9835524559021,7.246311187744141,0.9637389666225691
NC_004606.1,DNABERT-2,48,250000,0.36377068557919623,6.986698627471924,7.649979591369629,0.9132963747189614
NC_004606.1,DNABERT-2,48,1000000,0.2470449172576832,6.86693811416626,8.046355247497559,0.8534221896680362
NC_004606.1,NT-v2-50M,8,0,0.4095744680851064,2.728073835372925,3.014753818511963,0.9049076639761786
NC_004606.1,NT-v2-50M,8,100000,0.2990543735224586,2.504213571548462,2.961850643157959,0.8454894838581195
NC_004606.1,NT-v2-50M,8,250000,0.26802600472813237,2.549546480178833,3.0589232444763184,0.8334784093660089
NC_004606.1,NT-v2-50M,8,1000000,0.22074468085106383,2.5242414474487305,3.2123842239379883,0.7857844116649038
NC_004606.1,NT-v2-50M,16,0,0.3640661938534279,3.8999106884002686,4.220970153808594,0.92393704439757
NC_004606.1,NT-v2-50M,16,100000,0.30112293144208035,3.787645101547241,4.210498332977295,0.8995716900970605
NC_004606.1,NT-v2-50M,16,250000,0.2780732860520095,3.8502578735351562,4.329195022583008,0.8893703918281569
NC_004606.1,NT-v2-50M,16,1000000,0.15780141843971632,3.6764166355133057,4.495823860168457,0.8177403630255994
NC_004606.1,NT-v2-50M,24,0,0.39893617021276595,4.772106647491455,5.06298303604126,0.942548417310669
NC_004606.1,NT-v2-50M,24,100000,0.3064420803782506,4.646885395050049,5.075915813446045,0.9154772391497316
NC_004606.1,NT-v2-50M,24,250000,0.28221040189125296,4.714631080627441,5.238200664520264,0.9000478184352312
NC_004606.1,NT-v2-50M,24,1000000,0.12115839243498817,4.533386707305908,5.50869083404541,0.8229517400555825
NC_004606.1,NT-v2-50M,48,0,0.4160756501182033,6.876224517822266,7.0810346603393555,0.9710762406425963
NC_004606.1,NT-v2-50M,48,100000,0.33451536643026003,6.737361907958984,7.119869709014893,0.9462760111225642
NC_004606.1,NT-v2-50M,48,250000,0.30791962174940896,6.773733139038086,7.316821575164795,0.925775361535384
NC_004606.1,NT-v2-50M,48,1000000,0.1758274231678487,6.6441330909729,7.773548126220703,0.8547104852366952
NC_004606.1,compositional,11,0,0.6808510638297872,4.534619728587577,3.0172327341586995,1.5029068448218244
NC_004603.1,DNABERT-S,8,0,0.5941121688741722,3.125917673110962,2.9120676517486572,1.0734358012712688
NC_004603.1,DNABERT-S,8,100000,0.5865066225165563,3.1776883602142334,2.939913511276245,1.080878178227348
NC_004603.1,DNABERT-S,8,250000,0.566380380794702,3.151434898376465,2.9729580879211426,1.06003340954602
NC_004603.1,DNABERT-S,8,1000000,0.5059499172185431,3.071704387664795,2.988154411315918,1.0279603945607627
NC_004603.1,DNABERT-S,16,0,0.6102028145695364,4.515106678009033,4.205353736877441,1.0736568099884956
NC_004603.1,DNABERT-S,16,100000,0.5645177980132451,4.539710998535156,4.311352252960205,1.0529668494190327
NC_004603.1,DNABERT-S,16,250000,0.5409768211920529,4.521969795227051,4.36303186416626,1.0364283223247013
NC_004603.1,DNABERT-S,16,1000000,0.4919805463576159,4.409906387329102,4.405275344848633,1.0010512492677408
NC_004603.1,DNABERT-S,24,0,0.6627690397350994,5.73653507232666,5.111429214477539,1.1222957086207084
NC_004603.1,DNABERT-S,24,100000,0.6159457781456954,5.755356788635254,5.340552806854248,1.0776706076660514
NC_004603.1,DNABERT-S,24,250000,0.5891452814569537,5.74017333984375,5.3960347175598145,1.0637762061026104
NC_004603.1,DNABERT-S,24,1000000,0.5399420529801324,5.566162109375,5.4218950271606445,1.026608239645301
NC_004603.1,DNABERT-S,48,0,0.605494619205298,8.085329055786133,7.503498077392578,1.0775412977243992
NC_004603.1,DNABERT-S,48,100000,0.5458919701986755,8.157752990722656,7.884921073913574,1.0346017308545696
NC_004603.1,DNABERT-S,48,250000,0.5331125827814569,8.094602584838867,7.898974418640137,1.0247662741807448
NC_004603.1,DNABERT-S,48,1000000,0.49405008278145696,7.850438117980957,7.885313510894775,0.9955771710451801
NC_004603.1,DNABERT-2,8,0,0.5218336092715232,2.9150991439819336,2.9546635150909424,0.9866095171558678
NC_004603.1,DNABERT-2,8,100000,0.4251862582781457,2.8582303524017334,3.056488275527954,0.9351353889646525
NC_004603.1,DNABERT-2,8,250000,0.44039735099337746,2.9455246925354004,3.113670825958252,0.9459974599687803
NC_004603.1,DNABERT-2,8,1000000,0.42001241721854304,2.8913917541503906,3.080829620361328,0.9385107618548799
NC_004603.1,DNABERT-2,16,0,0.4522454470198676,4.170546054840088,4.224610328674316,0.9872025418611344
NC_004603.1,DNABERT-2,16,100000,0.3783112582781457,4.09543514251709,4.3924455642700195,0.9323815361153395
NC_004603.1,DNABERT-2,16,250000,0.38617549668874174,4.1842145919799805,4.459530830383301,0.9382634073235779
NC_004603.1,DNABERT-2,16,1000000,0.3641349337748344,4.117090702056885,4.458385944366455,0.9234486994691822
NC_004603.1,DNABERT-2,24,0,0.4115273178807947,5.1408538818359375,5.228139877319336,0.9833045791559515
NC_004603.1,DNABERT-2,24,100000,0.3556498344370861,5.133028507232666,5.43112325668335,0.9451136099546519
NC_004603.1,DNABERT-2,24,250000,0.36258278145695366,5.170666694641113,5.492215156555176,0.9414537754351663
NC_004603.1,DNABERT-2,24,1000000,0.3400765728476821,5.058655738830566,5.475327968597412,0.9239000417588533
NC_004603.1,DNABERT-2,48,0,0.44194950331125826,7.252921104431152,7.297879695892334,0.9938394995074409
NC_004603.1,DNABERT-2,48,100000,0.3754656456953642,7.2433319091796875,7.645705699920654,0.9473725766419256
NC_004603.1,DNABERT-2,48,250000,0.37877690397350994,7.256647109985352,7.7252421379089355,0.939342350756345
NC_004603.1,DNABERT-2,48,1000000,0.35471854304635764,7.096285820007324,7.712006092071533,0.9201608161724338
NC_004603.1,NT-v2-50M,8,0,0.35927152317880795,3.071155309677124,3.3968918323516846,0.9041074786155167
NC_004603.1,NT-v2-50M,8,100000,0.3294184602649007,3.041099786758423,3.4659006595611572,0.8774342041134782
NC_004603.1,NT-v2-50M,8,250000,0.32471026490066224,3.0149707794189453,3.44808292388916,0.8743904499890336
NC_004603.1,NT-v2-50M,8,1000000,0.3150869205298013,2.9622185230255127,3.3824892044067383,0.8757510649749619
NC_004603.1,NT-v2-50M,16,0,0.3488203642384106,4.306876182556152,4.62277364730835,0.9316649507734104
NC_004603.1,NT-v2-50M,16,100000,0.3148799668874172,4.286373138427734,4.72589635848999,0.9069968558932402
NC_004603.1,NT-v2-50M,16,250000,0.32082988410596025,4.267910957336426,4.7279953956604,0.9026893218326177
NC_004603.1,NT-v2-50M,16,1000000,0.29780629139072845,4.1664276123046875,4.68892765045166,0.8885672637545083
NC_004603.1,NT-v2-50M,24,0,0.3853994205298013,5.280562877655029,5.487285137176514,0.9623270425440561
NC_004603.1,NT-v2-50M,24,100000,0.31068915562913907,5.25023889541626,5.658502101898193,0.927849597096557
NC_004603.1,NT-v2-50M,24,250000,0.30655008278145696,5.238701343536377,5.67791748046875,0.9226448537790104
NC_004603.1,NT-v2-50M,24,1000000,0.2808360927152318,5.132455825805664,5.662290096282959,0.9064275652663738
NC_004603.1,NT-v2-50M,48,0,0.4519867549668874,7.349362373352051,7.428890228271484,0.9892947866403005
NC_004603.1,NT-v2-50M,48,100000,0.37163700331125826,7.3739142417907715,7.700444221496582,0.9575959554652356
NC_004603.1,NT-v2-50M,48,250000,0.3688948675496689,7.330060958862305,7.718538284301758,0.9496695732883061
NC_004603.1,NT-v2-50M,48,1000000,0.3259519867549669,7.180502891540527,7.716669082641602,0.9305184419133428
NC_004603.1,compositional,11,0,0.6549845950704225,4.557912776766671,3.5790930773223044,1.273482605313151
NC_004578.1,DNABERT-S,8,0,0.7451745244935128,2.994316816329956,2.6199018955230713,1.1429118095783246
NC_004578.1,DNABERT-S,8,100000,0.6391408024934753,2.869645833969116,2.6702980995178223,1.0746537379056258
NC_004578.1,DNABERT-S,8,250000,0.6936057755496724,2.9212913513183594,2.638213872909546,1.1072989120842665
NC_004578.1,DNABERT-S,8,1000000,0.7363919713100133,3.0275232791900635,2.6488587856292725,1.142953824346976
NC_004578.1,DNABERT-S,16,0,0.8272169961884376,4.573194980621338,3.8079111576080322,1.2009720792682632
NC_004578.1,DNABERT-S,16,100000,0.7945276854616121,4.494688510894775,3.8507814407348633,1.1672146498236555
NC_004578.1,DNABERT-S,16,250000,0.8116139995118196,4.542023181915283,3.8270440101623535,1.1868228245754087
NC_004578.1,DNABERT-S,16,1000000,0.8086192005107118,4.625032901763916,3.84735107421875,1.2021343549218688
NC_004578.1,DNABERT-S,24,0,0.8077461086389155,5.714410781860352,4.740110397338867,1.2055438170951596
NC_004578.1,DNABERT-S,24,100000,0.7879748023808183,5.652270317077637,4.792235374450684,1.1794642531984432
NC_004578.1,DNABERT-S,24,250000,0.7963959143055633,5.712742805480957,4.765989780426025,1.1986477245384068
NC_004578.1,DNABERT-S,24,1000000,0.7939456242137479,5.773684501647949,4.783166408538818,1.2070841799149779
NC_004578.1,DNABERT-S,48,0,0.8123932105371862,8.275178909301758,6.8155317306518555,1.2141648276810675
NC_004578.1,DNABERT-S,48,100000,0.8080371392628476,8.23266315460205,6.867046356201172,1.1988652366046257
NC_004578.1,DNABERT-S,48,250000,0.8058684917103213,8.303125381469727,6.8437652587890625,1.213239359840183
NC_004578.1,DNABERT-S,48,1000000,0.7983674120805874,8.344901084899902,6.855811595916748,1.2172010517135623
NC_004578.1,DNABERT-2,8,0,0.6418633470399369,3.350950002670288,3.2135167121887207,1.042767255561575
NC_004578.1,DNABERT-2,8,100000,0.5814463283200961,3.0836024284362793,3.0184223651885986,1.0215940830545787
NC_004578.1,DNABERT-2,8,250000,0.6691451210124111,3.281142234802246,3.0377085208892822,1.0801372851407414
NC_004578.1,DNABERT-2,8,1000000,0.6705674158358211,3.410378932952881,3.102847099304199,1.0991127902234192
NC_004578.1,DNABERT-2,16,0,0.5959696952627724,4.51980447769165,4.459527969360352,1.0135163427038545
NC_004578.1,DNABERT-2,16,100000,0.5667305056422389,4.34569787979126,4.295817852020264,1.0116112995218218
NC_004578.1,DNABERT-2,16,250000,0.6239321053718621,4.497952938079834,4.314566135406494,1.0425041120979508
NC_004578.1,DNABERT-2,16,1000000,0.6230449313731012,4.587507724761963,4.372069358825684,1.049276063176213
NC_004578.1,DNABERT-2,24,0,0.6391689667474042,5.495041847229004,5.2996296882629395,1.0368727949801555
NC_004578.1,DNABERT-2,24,100000,0.6230730956270302,5.350074768066406,5.148770809173584,1.0390974790593044
NC_004578.1,DNABERT-2,24,250000,0.660221746559267,5.480867862701416,5.174901962280273,1.0591249655841444
NC_004578.1,DNABERT-2,24,1000000,0.6688869486847293,5.570369243621826,5.211557865142822,1.0688491594574612
NC_004578.1,DNABERT-2,48,0,0.6641882123209223,7.592494010925293,7.270378589630127,1.0443051785163713
NC_004578.1,DNABERT-2,48,100000,0.6386760923036482,7.500708103179932,7.190764904022217,1.0431029526475473
NC_004578.1,DNABERT-2,48,250000,0.6773690831596537,7.629364013671875,7.199263572692871,1.0597422828927106
NC_004578.1,DNABERT-2,48,1000000,0.6852691563867139,7.738303184509277,7.214785099029541,1.0725618404836694
NC_004578.1,NT-v2-50M,8,0,0.3590989316359676,2.6511473655700684,2.8881607055664062,0.9179362354942585
NC_004578.1,NT-v2-50M,8,100000,0.30687771080944065,2.5563907623291016,2.897860288619995,0.8821649450693475
NC_004578.1,NT-v2-50M,8,250000,0.3468521752192118,2.6345508098602295,2.9011776447296143,0.9080970324744682
NC_004578.1,NT-v2-50M,8,1000000,0.35268217578249683,2.6477575302124023,2.8954169750213623,0.914465015938807
NC_004578.1,NT-v2-50M,16,0,0.3521564430424905,3.8784680366516113,4.184973239898682,0.9267605344940053
NC_004578.1,NT-v2-50M,16,100000,0.3422614018287989,3.852318525314331,4.175166606903076,0.9226742039335726
NC_004578.1,NT-v2-50M,16,250000,0.3586436095307835,3.8991546630859375,4.18548059463501,0.931590668006898
NC_004578.1,NT-v2-50M,16,1000000,0.3910559717606414,3.954744577407837,4.173320770263672,0.9476253552295179
NC_004578.1,NT-v2-50M,24,0,0.364999342834075,4.8769211769104,5.155874729156494,0.94589597946036
NC_004578.1,NT-v2-50M,24,100000,0.3458382620777709,4.830735683441162,5.141573905944824,0.939544149672873
NC_004578.1,NT-v2-50M,24,250000,0.3823015828310708,4.90621280670166,5.141538143157959,0.954230557101
NC_004578.1,NT-v2-50M,24,1000000,0.4247967479674797,4.983417510986328,5.13361120223999,0.9707430724032768
NC_004578.1,NT-v2-50M,48,0,0.40425092472633734,6.993988513946533,7.168208122253418,0.9756955147875761
NC_004578.1,NT-v2-50M,48,100000,0.38771381362774365,6.954830169677734,7.185642242431641,0.9678787135559092
NC_004578.1,NT-v2-50M,48,250000,0.4369918699186992,7.053958415985107,7.169086456298828,0.9839410445088763
NC_004578.1,NT-v2-50M,48,1000000,0.4829324621190785,7.162294864654541,7.148949146270752,1.001866808409282
NC_004578.1,compositional,11,0,0.8077367205542725,5.309237695088368,2.805887823693982,1.892177459930917
NC_004631.1,DNABERT-S,8,0,0.7892126353686911,3.022735357284546,2.651205539703369,1.1401361803214796
NC_004631.1,DNABERT-S,8,100000,0.5382958147016862,2.738215208053589,2.6764168739318848,1.0230899508681235
